helio,sun
"hema, hemo",blood
"her, here, hes",stick
hetero,"other, different"
"hex, ses, sex",six
homo,same
"hum, human","earth, ground, man"
"hydr, hydra, hydro",water
hyper,"over, above"
hypn,sleep
-ia,"Noun: names, diseases"
"-ian, an","Noun: related to, one that is"
-iatry,Noun: art of healing
-ic,"Adjective: quality, relation"
"-ic, ics",Noun: related to the arts and sciences
-ice,Noun: act
-ify,Verb: cause
ignis,fire
-ile,Adjective: having the qualities of
"in, im","into, on, near, towards"
"in, im, il, ir",not
infra,beneath
-ing,"Noun: material made for, activity, result of an activity"
-ing,Verb: present participle
-ing,Adjective: activity
inter,"between, among"
intra,"within, during, between layers, underneath"
intro,"into, within, inward"
-ion,Noun: condition or action
-ish,Adjective: having the character of
-ism,"Noun: doctrine, belief, action or conduct"
-ist,Noun: person or member
-ite,Noun: state or quality
"-ity, ty",Noun: state or quality
-ive,Noun: condition
"-ive, -ative, -itive",Adjective: having the quality of
-ize,Verb: cause
"jac, ject",throw
"join, junct",join
judice,judge
"jug, junct, just",to join
juven,young
labor,work
"lau, lav, lot, lut",wash
"lect, leg, lig","choose, gather, select, read"
leg,law
-less,"Adjective: without, missing"
levi,light
"lex, leag, leg",law
"liber, liver",free
lide,strike
liter,letters
"loc, loco","place, area"
"log, logo, ology","word, study, say, speech, reason, study"
"loqu, locut","talk, speak"
"luc, lum, lun, lus, lust",light
lude,play
-ly,Adverb: in the manner of
"macr-, macer",lean
magn,great
main,"strength, foremost"
mal,"bad, badly"
"man, manu","hand, make, do"
mand,command
mania,madness
"mar, mari, mer","sea, pool"
matri,mother
medi,"half, middle, between, halfway"
mega,"great, million"
mem,"recall, remember"
ment,mind
-ment,Noun: condition or result
meso,middle
meta,"beyond, change"
meter,measure
metr,"admeasure, apportion"
micro,"small, millionth"
migra,wander
"mill, kilo",thousand
milli,thousandth
min,"little, small"
mis,"wrong, bad, badly"
"mit, miss",send
"mob, mov, mot",move
mon,"warn, remind"
mono,one
"mor, mort","mortal, death"
morph,"shape, form"
multi,"many, much"
nano,billionth
"nasc, nat, gnant, nai",to be born
"nat, nasc","to be from, to spring forth"
neo,new
-ness,"Noun: state, condition, quality"
neur,nerve
nom,"law, order"
"nom, nym",name
"nomen, nomin",name
non,nine
non,not
nov,new
"nox, noc",night
numer,number
numisma,coin
"ob, oc, of, op","toward, against, in the way"
oct,eight
oligo,"few, little"
omni,"all, every"
onym,name
oper,work
-or,Noun: condition or activity
ortho,"straight, correct"
-ory,"Noun: place for, serves for"
"-ous, -eous, -ose, -ious","Adjective: having the quality of, relating to"
over,"excessive, above"
pac,peace
"pair, pare","arrange, assemblage, two"
paleo,old
pan,all
para,beside
"pat, pass, path","feel, suffer"
"pater, patr",father
"path, pathy","feeling, suffering"
"ped, pod",foot
pedo,child
"pel, puls","drive, push, urge"
"pend, pens, pond","hang, weigh"
per,"through, intensive"
peri,around
phage,eat
"phan, phas, phen, fan, phant, fant","show, make visible"
phe,speak
phil,love
phlegma,inflammation
"phobia, phobos",fear
phon,sound
"phot, photo",light
pico,trillionth
pict,"paint, show, draw"
"plac, plais",please
"pli, ply",fold
plore,"cry out, wail"
"plu, plur, plus",more
"pneuma, pneumon",breath
pod,"foot, feet"
poli,city
poly,many
"pon, pos, pound","place, put"
pop,people
port,carry
portion,"part, share"
post,"after, behind"
pot,power
"pre, pur",before
prehendere,"seize, grasp"
"prin, prim, prime",first
pro,"for, foward"
proto,first
psych,"mind, soul"
punct,"point, dot"
pute,think
"quat, quad",four
"quint, penta",five
quip,ship
"quir, quis, quest, quer","seek, ask"
re,"back, again"
"reg, recti",straighten
retro,backwards
"ri, ridi, risi",laughter
"rog, roga",ask
rupt,break
"sacr, sanc, secr",sacred
"salv, salu","safe, healthy"
sanct,holy
"sat, satis",enough
"sci, scio, scientia",know
scope,"see, watch"
"scrib, script",write
se,"apart, move away from"
"sect, sec",cut
"sed, sess, sid",sit
semi,"half, partial"
"sen, scen","old, grow old"
"sent, sens","feel, think"
sept,seven
"sequ, secu, sue",follow
serv,"save, serve, keep"
-ship,"Noun: status, condition"
"sign, signi","sign, mark, seal"
"simil, simul","like, resembling"
"sist, sta, stit","stand, withstand, make up"
soci,"to join, companions"
"sol, solus",alone
"solv, solu, solut","loosen, explain"
somn,sleep
soph,wise
"spec, spect, spi, spic","look, see"
sper,render favorable
sphere,"ball, sphere"
spir,breath
"stand, stant, stab, stat, stan, sti, sta, st, stead",stand
-ster,person
"strain, strict, string, stige","bind, pull, draw tight"
"stru, struct, stroy, stry",build
"sub, suc, suf, sup, sur, sus","under, below, from, secretly, instead of"
"sume, sump","take, use, waste"
"super, supra","over, above"
"syn, sym","together, at the same time"
"tact, tang, tag, tig, ting",touch
"tain, ten, tent, tin","hold, keep, have"
"tect, teg",cover
tele,"distance, far, from afar"
"tem, tempo",time
"ten, tin, tain",hold
"tend, tent, tens","stretch, strain"
tera,trillion
term,"end, boundary, limit"
"terr, terra",earth
test,to bear witness
"the, theo","God, a god"
therm,heat
"thesis, thet","place, put"
tire,"draw, pull"
tom,cut
"tor, tors, tort",twist
tox,poison
"tract, tra, trai, treat","drag, draw, pull"
trans,"across, beyond, change"
tri,three
trib,"pay, bestow"
tribute,give
turbo,disturb
typ,print
ultima,last
"umber, umbraticum",shadow
un,"not, against, opposite"
uni,one
-ure,"Noun: act, condition, process, function"
vac,empty
vade,go
"vale, vali, valu","strength, worth"
"veh, vect",to carry
"ven, vent",come
"ver, veri",TRUE
"verb, verv",word
"vert, vers","turn, change"
vi,way
"vic, vicis","change, substitute"
"vict, vinc",conquer
"vid, vis",see
"viv, vita, vivi","alive, life"
"voc, voke",call
vol,will
volcan,fire
"volv, volt, vol","turn about, roll"
vor,eat greedily
-ward,Adverb: in a direction or manner
-wise,"Adverb: in the manner of, with regard to"
with,against
-y,"Noun: state, condition, result of an activity"
-y,"Adjective: marked by, having"
zo,animal
